State,Payment_Sum,Payment_Count,Payment_Mean,Year
GU,5132.5,94,54.6,2017
HI,4705975.24,49208,95.63,2017
IA,14059468.66,67848,207.22,2017
ID,5537469.48,32916,168.23,2017
IL,92826781.28,433523,214.12,2017
IN,32754989.1,263536,124.29,2017
KS,20698964.03,107665,192.25,2017
KY,30452580.49,198646,153.3,2017
LA,24413882.39,224821,108.59,2017
MA,158561337.26,169288,936.64,2017
MD,74148702.23,240951,307.73,2017
ME,4422362.87,19490,226.9,2017
MH,76.3,1,76.3,2017
MI,79533151.64,374100,212.6,2017
MN,40875004.33,48103,849.74,2017
MO,47640585.58,259077,183.89,2017
MP,195.65,6,32.61,2017
MS,10671707.49,119774,89.1,2017
MT,1979321.9,15431,128.27,2017
NC,77289765.04,370063,208.86,2017
ND,2135657.43,14722,145.07,2017
NE,9018300.39,62750,143.72,2017
NH,6786382.52,23768,285.53,2017
NJ,72206873.86,452858,159.45,2017
NM,28284178.89,36373,777.61,2017
NV,19764232.53,92342,214.03,2017
NY,202713729.43,801450,252.93,2017
OH,100224909.48,483033,207.49,2017
OK,15934881.79,154040,103.45,2017
OR,20732948.55,62382,332.35,2017
PA,148186356.61,586278,252.76,2017
PR,6673336.36,48209,138.43,2017
PW,1514.15,19,79.69,2017
RI,7592215.96,38660,196.38,2017
SC,25916367.77,204800,126.54,2017
SD,5063338.97,21537,235.1,2017
TN,59891006.84,293509,204.05,2017
TX,199884339.09,996715,200.54,2017
UT,24829848.92,75605,328.42,2017
VA,40305271.25,279713,144.1,2017
VI,13567.62,138,98.32,2017
VT,1557016.91,1981,785.98,2017
WA,44716997.28,130098,343.72,2017
WI,36951049.46,81517,453.29,2017
WV,6818817.41,79591,85.67,2017
WY,927421.78,7523,123.28,2017
NA,219081.95,357,613.67,2017
AA,1307.35,15,87.16,2018
AE,27872.02,291,95.78,2018
AK,1147886.33,10895,105.36,2018
AL,26093376.07,215401,121.14,2018
AP,63389.6,211,300.42,2018
AR,8135480.78,100421,81.01,2018
AZ,58390218.01,233581,249.98,2018
CA,834418803.37,1110594,751.33,2018
CO,57484478.29,133553,430.42,2018
CT,29220878.26,163142,179.11,2018
DC,18939852.07,39826,475.57,2018
DE,4173121.45,39045,106.88,2018
FL,162063338.1,869194,186.45,2018
FM,16.28,1,16.28,2018
GA,72781176.59,356427,204.2,2018
GU,3494.97,81,43.15,2018
HI,4792977.76,45836,104.57,2018
IA,13616881.97,61709,220.66,2018
ID,5771996.83,30688,188.09,2018
IL,90359900.06,416057,217.18,2018
IN,34878224.62,257408,135.5,2018
KS,23495474.28,100972,232.69,2018
KY,28525403.41,189805,150.29,2018
LA,25471987.42,216947,117.41,2018
MA,164309951.92,161826,1015.35,2018
MD,51436970.45,230087,223.55,2018
ME,3219085.69,17059,188.7,2018
MI,87600596.11,355320,246.54,2018
MN,40939758.62,47380,864.07,2018
MO,45861616.76,245960,186.46,2018
MP,28.77,2,14.38,2018
MS,10954542.42,116771,93.81,2018
MT,1722731.62,13351,129.03,2018
NC,78378055.88,341171,229.73,2018
ND,18789283.53,13284,1414.43,2018
NE,8152836.17,60252,135.31,2018
NH,5445881.83,23165,235.09,2018
NJ,48586472.1,387274,125.46,2018
NM,5404705.17,33703,160.36,2018
NV,18866741.94,92951,202.98,2018
NY,204717058.42,765886,267.29,2018
OH,105345066.89,450394,233.9,2018
OK,14719763.87,148125,99.37,2018
OR,19042655.57,58451,325.79,2018
PA,135150034.0,537461,251.46,2018
PR,8102324.88,60296,134.38,2018
PW,4751.42,9,527.94,2018
RI,6989404.78,35742,195.55,2018
SC,21310370.63,194712,109.45,2018
SD,5336314.87,21299,250.54,2018
TN,72090054.37,285390,252.6,2018
TX,217595864.27,988215,220.19,2018
UT,25491753.14,72747,350.42,2018
VA,43645633.67,265062,164.66,2018
VI,9422.03,127,74.19,2018
VT,1824323.25,1965,928.41,2018
WA,54600427.8,122494,445.74,2018
WI,25951017.2,78596,330.18,2018
WV,6640114.47,72181,91.99,2018
WY,1108272.14,6406,173.01,2018
NA,555014.35,634,875.42,2018
AA,61.02,2,30.51,2019
AE,32882.82,219,150.15,2019
AK,1323279.24,10400,127.24,2019
AL,25084995.63,201833,124.29,2019
AP,56234.33,189,297.54,2019
AR,7901301.36,93323,84.67,2019
AZ,55859977.68,223637,249.78,2019
CA,733185768.28,1075799,681.53,2019
CO,63031511.04,125990,500.29,2019
CT,29406222.08,154785,189.98,2019
DC,20270663.63,39727,510.25,2019
DE,3971005.21,36899,107.62,2019
FL,212024743.37,827434,256.24,2019
GA,67132520.14,341280,196.71,2019
GU,5006.33,82,61.05,2019
HI,5298883.55,43502,121.81,2019
IA,15575448.42,57524,270.76,2019
ID,5982359.25,28440,210.35,2019
IL,94425112.83,394465,239.38,2019
IN,36935138.39,242883,152.07,2019
KS,25199232.77,92586,272.17,2019
KY,30526108.44,182010,167.72,2019
LA,26307045.17,200131,131.45,2019
MA,384141589.33,160357,2395.54,2019
MD,45663834.78,216257,211.16,2019
ME,3485250.73,14778,235.84,2019
MI,116766254.29,325927,358.26,2019
MN,46833897.15,48541,964.83,2019
MO,51030438.15,232559,219.43,2019
MP,190.71,3,63.57,2019
MS,11706380.67,110518,105.92,2019
MT,1587960.07,12059,131.68,2019
NC,82764780.57,318827,259.59,2019
ND,2486547.87,12149,204.67,2019
NE,7088871.1,56331,125.84,2019
NH,5331765.6,22321,238.87,2019
NJ,52137203.93,394736,132.08,2019
NM,7245888.98,32762,221.17,2019
NV,18642704.4,88392,210.91,2019
NY,200141642.86,738048,271.18,2019
OH,102148557.94,428933,238.15,2019
OK,15561858.36,136098,114.34,2019
OR,19584525.54,55660,351.86,2019
PA,138864769.09,499965,277.75,2019
PR,8252302.26,60149,137.2,2019
RI,7101871.16,33973,209.04,2019
SC,22731787.85,185635,122.45,2019
SD,5813047.28,19649,295.84,2019
TN,62482434.46,272289,229.47,2019
TX,510150183.56,938784,543.42,2019
UT,26188034.12,67084,390.38,2019
VA,49242257.53,254708,193.33,2019
VI,8511.05,117,72.74,2019
VT,1555575.14,2235,696.01,2019
WA,52428092.22,111689,469.41,2019
WI,32813924.28,70548,465.13,2019
WV,9127738.13,66332,137.61,2019
WY,1711898.35,5292,323.49,2019
NA,1238796.85,462,2681.38,2019
