State,Payment_Sum,Payment_Count,Payment_Mean,Year,id,Pop,Name,Sum_pc,Count_pc,Mean_pc
KS,11846400.04,106035,111.72,2015,20,2909011,Kansas,40723.12,364.51,0.38
KY,27325523.04,198663,137.55,2015,21,4425976,Kentucky,61738.98,448.86,0.31
LA,20963104.76,214616,97.68,2015,22,4664628,Louisiana,44940.57,460.09,0.21
MA,128444250.68,178053,721.38,2015,23,6794228,Massachusetts,189049.07,262.07,1.06
MD,45803117.02,238500,192.05,2015,24,5985562,Maryland,76522.67,398.46,0.32
ME,6087727.93,23608,257.87,2015,25,1328262,Maine,45832.28,177.74,1.94
MI,67494499.29,390796,172.71,2015,26,9931715,Michigan,67958.55,393.48,0.17
MN,44484290.22,46644,953.7,2015,27,5482032,Minnesota,81145.62,85.09,1.74
MO,82734369.36,258375,320.21,2015,28,6071732,Missouri,136261.56,425.54,0.53
MS,10109445.88,118130,85.58,2015,29,2988471,Mississippi,33828.15,395.29,0.29
MT,2272263.56,16225,140.05,2015,30,1030475,Montana,22050.64,157.45,1.36
NC,75199556.99,367920,204.39,2015,31,10031646,North Carolina,74962.33,366.76,0.2
ND,1870076.69,16068,116.39,2015,32,754066,North Dakota,24799.91,213.08,1.54
NE,7291999.38,65008,112.17,2015,33,1891277,Nebraska,38555.96,343.73,0.59
NH,5771093.51,23275,247.95,2015,34,1336350,New Hampshire,43185.49,174.17,1.86
NJ,61825734.4,467107,132.36,2015,35,8867949,New Jersey,69718.19,526.74,0.15
NM,4389105.53,35096,125.06,2015,36,2089291,New Mexico,21007.63,167.98,0.6
NV,18465625.06,92466,199.7,2015,37,2866939,Nevada,64408.85,322.53,0.7
NY,231227128.53,825905,279.97,2015,38,19654666,New York,117644.9,420.21,0.14
OH,96294898.67,507616,189.7,2015,39,11617527,Ohio,82887.6,436.94,0.16
OK,14195398.47,146127,97.14,2015,40,3909500,Oklahoma,36310.01,373.77,0.25
OR,18137805.08,67926,267.02,2015,41,4015792,Oregon,45166.2,169.15,0.66
PA,121294640.2,592133,204.84,2015,42,12784826,Pennsylvania,94873.91,463.15,0.16
RI,7371763.78,45607,161.64,2015,44,1056065,Rhode Island,69804.07,431.86,1.53
SC,23202328.43,202176,114.76,2015,45,4891938,South Carolina,47429.73,413.28,0.23
SD,4478303.31,17385,257.6,2015,46,853988,South Dakota,52439.89,203.57,3.02
TN,62795380.81,285896,219.64,2015,47,6591170,Tennessee,95271.98,433.76,0.33
TX,188978870.17,969047,195.02,2015,48,27470056,Texas,68794.5,352.76,0.07
UT,28007729.49,72449,386.59,2015,49,2981835,Utah,93927.83,242.97,1.3
VA,44228512.62,279406,158.29,2015,50,8361808,Virginia,52893.48,334.15,0.19
VT,2037465.97,2305,883.93,2015,52,625216,Vermont,32588.19,36.87,14.14
WA,56141418.12,139654,402.0,2015,53,7163657,Washington,78369.77,194.95,0.56
WI,24366614.07,88336,275.84,2015,54,5760940,Wisconsin,42296.25,153.34,0.48
WV,6440774.71,81241,79.28,2015,55,1842050,West Virginia,34965.25,441.04,0.43
WY,1455101.16,6976,208.59,2015,56,585613,Wyoming,24847.49,119.12,3.56
AK,796671.24,9740,81.79,2016,1,741456,Alaska,10744.69,131.36,1.1
AL,22672893.9,229921,98.61,2016,2,4863525,Alabama,46618.23,472.75,0.2
AR,11738360.1,110939,105.81,2016,3,2989918,Arkansas,39259.81,371.04,0.35
AZ,61485536.55,243359,252.65,2016,5,6941072,Arizona,88582.19,350.61,0.36
CA,682188216.06,1174463,580.85,2016,6,39167117,California,174173.71,299.86,0.15
CO,60753194.8,138885,437.44,2016,7,5539215,Colorado,109678.35,250.73,0.79
CT,31542008.36,194318,162.32,2016,9,3578141,Connecticut,88151.94,543.07,0.45
DC,18813695.16,40661,462.7,2016,10,685815,District of Columbia,274326.1,592.89,6.75
DE,3860316.0,43411,88.92,2016,11,948921,Delaware,40681.11,457.48,0.94
FL,145049078.03,880874,164.66,2016,12,20613477,Florida,70366.14,427.33,0.08
GA,67739067.14,372405,181.9,2016,13,10301890,Georgia,65754.02,361.49,0.18
HI,4583775.14,48410,94.69,2016,15,1427559,Hawaii,32109.18,339.11,0.66
IA,14123000.73,71294,198.1,2016,16,3131371,Iowa,45101.65,227.68,0.63
ID,4886636.83,35526,137.55,2016,17,1682380,Idaho,29045.98,211.17,0.82
IL,87357003.3,450876,193.75,2016,18,12820527,Illinois,68138.39,351.68,0.15
IN,31247444.62,280552,111.38,2016,19,6634304,Indiana,47099.81,422.88,0.17
KS,14116242.98,110333,127.94,2016,20,2910844,Kansas,48495.36,379.04,0.44
KY,33604825.99,200635,167.49,2016,21,4438182,Kentucky,75717.55,452.07,0.38
LA,22275795.7,221989,100.35,2016,22,4678135,Louisiana,47616.83,474.52,0.21
MA,146331528.68,175853,832.12,2016,23,6823608,Massachusetts,214448.91,257.71,1.22
MD,44481502.06,244145,182.19,2016,24,6003323,Maryland,74094.8,406.68,0.3
ME,5117956.61,22296,229.55,2016,25,1331317,Maine,38442.81,167.47,1.72
MI,70787698.85,382247,185.19,2016,26,9950571,Michigan,71139.33,384.15,0.19
MN,42966351.68,47409,906.29,2016,27,5522744,Minnesota,77798.92,85.84,1.64
MO,46429796.57,264657,175.43,2016,28,6087135,Missouri,76275.29,434.78,0.29
MS,11578539.59,118581,97.64,2016,29,2987938,Mississippi,38750.94,396.87,0.33
MT,2141332.63,15777,135.72,2016,30,1040859,Montana,20572.74,151.58,1.3
NC,76756051.08,379494,202.26,2016,31,10154788,North Carolina,75586.07,373.71,0.2
ND,1863351.98,15469,120.46,2016,32,754434,North Dakota,24698.67,205.04,1.6
NE,9330754.61,63481,146.98,2016,33,1905616,Nebraska,48964.51,333.13,0.77
NH,6541892.99,22583,289.68,2016,34,1342307,New Hampshire,48736.19,168.24,2.16
NJ,71410719.25,470854,151.66,2016,35,8870827,New Jersey,80500.63,530.79,0.17
NM,4421179.16,35962,122.94,2016,36,2091630,New Mexico,21137.48,171.93,0.59
NV,19075766.18,93393,204.25,2016,37,2917563,Nevada,65382.53,320.11,0.7
NY,237341800.32,834124,284.54,2016,38,19633428,New York,120886.58,424.85,0.14
OH,98138663.48,504198,194.64,2016,39,11634370,Ohio,84352.37,433.37,0.17
OK,15134982.44,153738,98.45,2016,40,3926331,Oklahoma,38547.39,391.56,0.25
OR,17967470.46,65020,276.34,2016,41,4089976,Oregon,43930.5,158.97,0.68
PA,174331879.04,607483,286.97,2016,42,12782275,Pennsylvania,136385.64,475.25,0.22
RI,7369909.45,42594,173.03,2016,44,1056770,Rhode Island,69739.96,403.06,1.64
SC,23000541.15,209179,109.96,2016,45,4957968,South Carolina,46391.06,421.9,0.22
SD,5557689.47,19873,279.66,2016,46,862996,South Dakota,64399.94,230.28,3.24
TN,71539650.43,294537,242.89,2016,47,6646010,Tennessee,107643.01,443.18,0.37
TX,194801944.53,1014867,191.95,2016,48,27914410,Texas,69785.44,363.56,0.07
UT,26601377.29,77572,342.92,2016,49,3041868,Utah,87450.79,255.01,1.13
VA,44720300.25,286422,156.13,2016,50,8410106,Virginia,53174.48,340.57,0.19
VT,1637311.79,2387,685.93,2016,52,623657,Vermont,26253.4,38.27,11.0
WA,45504909.18,136486,333.4,2016,53,7294771,Washington,62380.18,187.1,0.46
WI,47591829.1,84453,563.53,2016,54,5772628,Wisconsin,82443.96,146.3,0.98
WV,6848971.16,84095,81.44,2016,55,1831023,West Virginia,37405.16,459.28,0.44
WY,1883375.83,7173,262.56,2016,56,584215,Wyoming,32237.72,122.78,4.49
AK,878928.8,10354,84.89,2017,1,739700,Alaska,11882.23,139.98,1.15
AL,22641870.19,222655,101.69,2017,2,4874486,Alabama,46449.76,456.78,0.21
AR,8429962.5,111233,75.79,2017,3,3001345,Arkansas,28087.28,370.61,0.25
AZ,54724441.57,245118,223.26,2017,5,7044008,Arizona,77689.35,347.98,0.32
CA,718897774.13,1153174,623.41,2017,6,39358497,California,182653.77,292.99,0.16
CO,53747530.76,134999,398.13,2017,7,5611885,Colorado,95774.47,240.56,0.71
CT,29046910.29,176984,164.12,2017,9,3573297,Connecticut,81288.82,495.3,0.46
DC,18659480.66,39605,471.14,2017,10,694906,District of Columbia,268518.05,569.93,6.78
DE,3876832.43,42117,92.05,2017,11,956823,Delaware,40517.76,440.18,0.96
FL,151992927.35,869087,174.89,2017,12,20963613,Florida,72503.21,414.57,0.08
GA,68524145.94,365186,187.64,2017,13,10410330,Georgia,65823.22,350.79,0.18
HI,4705975.24,49208,95.63,2017,15,1424393,Hawaii,33038.46,345.47,0.67
IA,14059468.66,67848,207.22,2017,16,3141550,Iowa,44753.29,215.97,0.66
ID,5537469.48,32916,168.23,2017,17,1717715,Idaho,32237.42,191.63,0.98
IL,92826781.28,433523,214.12,2017,18,12778828,Illinois,72641.08,339.25,0.17
IN,32754989.1,263536,124.29,2017,19,6658078,Indiana,49195.86,395.81,0.19
KS,20698964.03,107665,192.25,2017,20,2908718,Kansas,71161.81,370.15,0.66
KY,30452580.49,198646,153.3,2017,21,4452268,Kentucky,68397.91,446.17,0.34
LA,24413882.39,224821,108.59,2017,22,4670560,Louisiana,52271.85,481.36,0.23
MA,158561337.26,169288,936.64,2017,23,6859789,Massachusetts,231146.09,246.78,1.37
MD,74148702.23,240951,307.73,2017,24,6023868,Maryland,123091.51,399.99,0.51
ME,4422362.87,19490,226.9,2017,25,1334612,Maine,33135.94,146.03,1.7
MI,79533151.64,374100,212.6,2017,26,9973114,Michigan,79747.56,375.11,0.21
MN,40875004.33,48103,849.74,2017,27,5566230,Minnesota,73433.91,86.42,1.53
MO,47640585.58,259077,183.89,2017,28,6106670,Missouri,78014.02,424.25,0.3
MS,10671707.49,119774,89.1,2017,29,2988510,Mississippi,35709.12,400.78,0.3
MT,1979321.9,15431,128.27,2017,30,1052482,Montana,18806.23,146.62,1.22
NC,77289765.04,370063,208.86,2017,31,10268233,North Carolina,75270.75,360.4,0.2
ND,2135657.43,14722,145.07,2017,32,754942,North Dakota,28289.03,195.01,1.92
NE,9018300.39,62750,143.72,2017,33,1915947,Nebraska,47069.68,327.51,0.75
NH,6786382.52,23768,285.53,2017,34,1348787,New Hampshire,50314.71,176.22,2.12
NJ,72206873.86,452858,159.45,2017,35,8885525,New Jersey,81263.49,509.66,0.18
NM,28284178.89,36373,777.61,2017,36,2091784,New Mexico,135215.58,173.89,3.72
NV,19764232.53,92342,214.03,2017,37,2969905,Nevada,66548.37,310.93,0.72
NY,202713729.43,801450,252.93,2017,38,19589572,New York,103480.43,409.12,0.13
OH,100224909.48,483033,207.49,2017,39,11659650,Ohio,85958.76,414.28,0.18
OK,15934881.79,154040,103.45,2017,40,3931316,Oklahoma,40533.2,391.83,0.26
OR,20732948.55,62382,332.35,2017,41,4143625,Oregon,50035.77,150.55,0.8
PA,148186356.61,586278,252.76,2017,42,12787641,Pennsylvania,115882.48,458.47,0.2
RI,7592215.96,38660,196.38,2017,44,1055673,Rhode Island,71918.25,366.21,1.86
SC,25916367.77,204800,126.54,2017,45,5021268,South Carolina,51613.19,407.87,0.25
SD,5063338.97,21537,235.1,2017,46,872868,South Dakota,58008.07,246.74,2.69
TN,59891006.84,293509,204.05,2017,47,6708799,Tennessee,89272.32,437.5,0.3
TX,199884339.09,996715,200.54,2017,48,28295273,Texas,70642.31,352.25,0.07
UT,24829848.92,75605,328.42,2017,49,3101042,Utah,80069.37,243.81,1.06
VA,40305271.25,279713,144.1,2017,50,8463587,Virginia,47621.97,330.49,0.17
VT,1557016.91,1981,785.98,2017,52,624344,Vermont,24938.45,31.73,12.59
WA,44716997.28,130098,343.72,2017,53,7423362,Washington,60238.2,175.25,0.46
WI,36951049.46,81517,453.29,2017,54,5790186,Wisconsin,63816.69,140.78,0.78
WV,6818817.41,79591,85.67,2017,55,1817004,West Virginia,37527.81,438.03,0.47
WY,927421.78,7523,123.28,2017,56,578931,Wyoming,16019.56,129.95,2.13
AK,1147886.33,10895,105.36,2018,1,735139,Alaska,15614.55,148.2,1.43
AL,26093376.07,215401,121.14,2018,2,4887681,Alabama,53386.0,440.7,0.25
AR,8135480.78,100421,81.01,2018,3,3009733,Arkansas,27030.57,333.65,0.27
AZ,58390218.01,233581,249.98,2018,5,7158024,Arizona,81573.1,326.32,0.35
CA,834418803.37,1110594,751.33,2018,6,39461588,California,211450.89,281.44,0.19
CO,57484478.29,133553,430.42,2018,7,5691287,Colorado,101004.36,234.66,0.76
CT,29220878.26,163142,179.11,2018,9,3571520,Connecticut,81816.36,456.79,0.5
